"","item1","item2","missing","careless_long"
"301","2021-10-07 09:48:21","2021-10-07 10:37:56",102,13
"302","2021-10-07 09:48:49","2021-10-07 11:50:28",144,9
"303","2021-10-07 09:48:50","2021-10-07 10:47:06",73,9
"304","2021-10-07 09:49:15","2021-10-07 10:38:51",132,13
"305","2021-10-07 09:49:34","2021-10-07 10:22:44",141,24
"306","2021-10-07 09:49:44","2021-10-07 11:01:52",81,9
"307","2021-10-07 09:49:46","2021-10-07 10:36:18",83,9
"308","2021-10-07 09:49:50","2021-10-07 10:39:09",57,11
"309","2021-10-07 09:49:57","2021-10-07 10:18:09",114,12
"313","2021-10-07 09:50:11","2021-10-07 10:37:24",78,13
"314","2021-10-07 09:50:20","2021-10-07 11:14:13",69,10
"315","2021-10-07 09:50:27","2021-10-07 10:38:29",96,16
"316","2021-10-07 09:50:32","2021-10-07 10:50:52",55,11
"317","2021-10-07 09:50:34","2021-10-07 10:29:13",81,9
"319","2021-10-07 09:50:35","2021-10-07 10:56:10",97,9
"320","2021-10-07 09:50:36","2021-10-07 11:34:24",64,5
"324","2021-10-07 09:50:52","2021-10-07 11:32:22",90,5
"325","2021-10-07 09:50:53","2021-10-07 10:45:59",51,9
"326","2021-10-07 09:50:58","2021-10-07 10:43:48",81,9
"327","2021-10-07 09:50:58","2021-10-07 11:22:12",94,5
"328","2021-10-07 09:51:01","2021-10-07 10:39:08",114,12
"329","2021-10-07 09:51:02","2021-10-07 10:17:22",132,5
"330","2021-10-07 09:51:03","2021-10-07 11:07:54",156,10
"332","2021-10-07 09:51:32","2021-10-07 10:41:10",117,13
"333","2021-10-07 09:51:44","2021-10-07 11:36:06",168,13
"334","2021-10-07 09:51:48","2021-10-07 11:29:57",60,7
"336","2021-10-07 09:52:01","2021-10-07 10:28:13",99,11
"337","2021-10-07 09:52:01","2021-10-07 10:28:23",81,17
"338","2021-10-07 09:52:20","2021-10-07 10:49:37",108,17
"339","2021-10-07 09:52:20","2021-10-07 10:09:14",88,7
"340","2021-10-07 09:52:27","2021-10-07 11:21:59",108,13
"341","2021-10-07 09:52:28","2021-10-07 10:33:26",60,13
"342","2021-10-07 09:52:32","2021-10-07 11:06:15",51,5
"343","2021-10-07 09:52:59","2021-10-07 11:05:14",129,13
"344","2021-10-07 09:53:00","2021-10-07 10:32:46",124,13
"345","2021-10-07 09:53:09","2021-10-07 10:31:22",87,10
"346","2021-10-07 09:53:09","2021-10-07 10:51:27",138,13
"347","2021-10-07 09:53:13","2021-10-07 10:37:27",93,13
"352","2021-10-07 09:53:53","2021-10-07 10:28:40",99,6
"354","2021-10-07 09:54:06","2021-10-07 10:31:18",174,11
"355","2021-10-07 09:54:08","2021-10-07 11:08:19",69,13
"356","2021-10-07 09:54:23","2021-10-07 10:19:41",75,17
"357","2021-10-07 09:54:31","2021-10-07 10:57:54",57,12
"358","2021-10-07 09:54:34","2021-10-07 10:42:14",27,5
"360","2021-10-07 09:54:58","2021-10-07 10:49:52",129,14
"361","2021-10-07 09:55:02","2021-10-07 11:13:48",30,14
"363","2021-10-07 09:55:25","2021-10-07 11:00:31",105,13
"364","2021-10-07 09:55:26","2021-10-07 10:53:42",51,11
"365","2021-10-07 09:55:28","2021-10-07 10:52:06",117,11
"366","2021-10-07 09:55:53","2021-10-07 10:28:17",117,7
"368","2021-10-07 09:56:02","2021-10-07 10:48:20",54,7
"371","2021-10-07 09:56:16","2021-10-07 10:33:45",99,10
"372","2021-10-07 09:56:17","2021-10-07 10:22:24",99,13
"373","2021-10-07 09:56:21","2021-10-07 10:26:06",27,9
"374","2021-10-07 09:56:26","2021-10-07 10:47:26",139,7
"375","2021-10-07 09:56:33","2021-10-07 11:17:13",68,16
"376","2021-10-07 09:56:34","2021-10-07 10:41:58",69,12
"377","2021-10-07 09:56:51","2021-10-07 10:37:03",81,10
"378","2021-10-07 09:56:51","2021-10-07 11:28:38",112,14
"379","2021-10-07 09:56:56","2021-10-07 10:36:48",126,13
"380","2021-10-07 09:57:17","2021-10-07 10:26:22",129,16
"382","2021-10-07 09:57:39","2021-10-07 10:50:32",120,10
"384","2021-10-07 09:57:57","2021-10-07 10:32:02",99,11
"385","2021-10-07 09:58:03","2021-10-07 10:31:43",114,13
"387","2021-10-07 09:58:15","2021-10-07 10:26:11",90,13
"388","2021-10-07 09:58:36","2021-10-07 11:39:15",52,9
"389","2021-10-07 09:58:42","2021-10-07 11:07:46",84,13
"390","2021-10-07 09:58:49","2021-10-07 11:36:00",69,11
"392","2021-10-07 09:59:03","2021-10-07 11:00:03",116,13
"395","2021-10-07 09:59:13","2021-10-07 10:45:03",76,17
"397","2021-10-07 09:59:18","2021-10-07 10:27:07",105,5
"398","2021-10-07 09:59:22","2021-10-07 10:23:12",69,10
"399","2021-10-07 09:59:27","2021-10-07 11:05:55",132,14
"400","2021-10-07 09:59:33","2021-10-07 10:49:09",102,5
"401","2021-10-07 09:59:38","2021-10-07 10:38:33",147,22
"402","2021-10-07 09:59:39","2021-10-07 11:07:23",72,6
"403","2021-10-07 09:59:39","2021-10-07 10:54:20",141,14
"404","2021-10-07 09:59:45","2021-10-07 11:03:40",105,6
"406","2021-10-07 09:59:51","2021-10-07 11:14:11",111,22
"408","2021-10-07 09:59:56","2021-10-07 10:18:45",187,14
"409","2021-10-07 09:59:59","2021-10-07 10:59:18",111,6
"411","2021-10-07 10:00:27","2021-10-07 11:30:21",114,17
"412","2021-10-07 10:00:29","2021-10-07 10:41:10",114,15
"414","2021-10-07 10:00:33","2021-10-07 10:42:16",162,9
"417","2021-10-07 10:00:47","2021-10-07 10:42:33",147,17
"418","2021-10-07 10:01:53","2021-10-07 11:41:52",18,8
"420","2021-10-07 10:02:37","2021-10-07 10:58:36",78,7
"422","2021-10-07 10:06:35","2021-10-07 10:35:43",78,13
"426","2021-10-07 10:20:53","2021-10-07 11:00:08",105,16
"429","2021-10-07 10:40:54","2021-10-07 11:41:19",107,13
"430","2021-10-07 10:41:16","2021-10-07 11:30:05",138,13
"433","2021-10-07 10:45:13","2021-10-07 11:22:56",79,13
"434","2021-10-07 10:45:15","2021-10-07 11:04:51",159,13
"435","2021-10-07 10:45:18","2021-10-07 11:40:53",132,9
"436","2021-10-07 10:45:19","2021-10-07 11:49:17",72,7
"437","2021-10-07 10:45:19","2021-10-07 12:21:04",102,13
"438","2021-10-07 10:45:26","2021-10-07 11:32:37",51,7
"439","2021-10-07 10:47:45","2021-10-07 12:11:57",93,10
"440","2021-10-07 10:51:56","2021-10-07 12:37:57",24,16
"441","2021-10-07 10:52:21","2021-10-07 11:22:52",57,6
"442","2021-10-07 10:53:11","2021-10-07 11:19:57",111,16
"443","2021-10-07 10:56:00","2021-10-07 11:03:14",28,7
"445","2021-10-07 11:00:11","2021-10-07 11:51:15",48,7
"446","2021-10-07 11:00:14","2021-10-07 12:24:35",69,8
"447","2021-10-07 11:00:16","2021-10-07 11:44:36",108,9
"448","2021-10-07 11:00:17","2021-10-07 11:16:27",159,12
"449","2021-10-07 11:00:21","2021-10-07 11:58:29",129,6
"450","2021-10-07 11:00:21","2021-10-07 11:27:37",135,10
"452","2021-10-07 11:02:04","2021-10-07 12:23:57",60,6
"453","2021-10-07 11:02:09","2021-10-07 13:27:47",69,11
"455","2021-10-07 11:04:59","2021-10-07 11:59:42",49,13
"457","2021-10-07 11:07:14","2021-10-07 12:07:58",45,12
"458","2021-10-07 11:08:47","2021-10-07 11:50:33",30,14
"460","2021-10-07 11:15:11","2021-10-07 11:47:07",111,10
"461","2021-10-07 11:15:14","2021-10-07 12:34:10",125,9
"462","2021-10-07 11:15:15","2021-10-07 11:49:05",94,10
"463","2021-10-07 11:15:15","2021-10-07 12:00:34",89,11
"464","2021-10-07 11:15:31","2021-10-07 11:50:46",124,9
"465","2021-10-07 11:15:41","2021-10-07 12:02:48",168,7
"466","2021-10-07 11:17:47","2021-10-07 11:56:05",150,13
"467","2021-10-07 11:19:32","2021-10-07 13:02:35",61,7
"468","2021-10-07 11:22:09","2021-10-07 11:52:35",48,6
"469","2021-10-07 11:30:13","2021-10-07 12:10:03",57,6
"470","2021-10-07 11:30:17","2021-10-07 12:03:41",123,6
"471","2021-10-07 11:30:17","2021-10-07 12:04:17",58,11
"472","2021-10-07 11:30:18","2021-10-07 12:00:34",108,7
"473","2021-10-07 11:30:18","2021-10-07 12:20:38",111,13
"475","2021-10-07 11:30:22","2021-10-07 12:12:00",123,15
"476","2021-10-07 11:30:24","2021-10-07 12:12:44",99,10
"477","2021-10-07 11:30:28","2021-10-07 12:11:18",94,11
"478","2021-10-07 11:30:34","2021-10-07 12:11:43",140,13
"479","2021-10-07 11:30:40","2021-10-07 12:01:24",195,16
"480","2021-10-07 11:32:53","2021-10-07 12:16:14",138,13
"483","2021-10-07 11:36:43","2021-10-07 12:31:54",81,13
"484","2021-10-07 11:41:21","2021-10-07 12:38:46",54,7
"485","2021-10-07 11:41:44","2021-10-07 13:07:17",132,10
"486","2021-10-07 11:45:12","2021-10-07 12:04:04",193,17
"487","2021-10-07 11:45:14","2021-10-07 12:13:42",144,13
"488","2021-10-07 11:45:19","2021-10-07 12:06:18",183,19
"490","2021-10-07 11:45:22","2021-10-07 12:29:06",138,17
"492","2021-10-07 11:45:23","2021-10-07 12:49:50",69,9
"493","2021-10-07 11:45:23","2021-10-07 12:04:24",120,13
"495","2021-10-07 11:45:43","2021-10-07 12:11:09",120,17
"496","2021-10-07 11:45:53","2021-10-07 12:50:34",48,8
"497","2021-10-07 11:46:18","2021-10-07 12:22:51",48,5
"498","2021-10-07 11:57:42","2021-10-07 12:31:08",111,12
"500","2021-10-07 12:00:24","2021-10-07 12:38:07",105,13
"501","2021-10-07 12:00:43","2021-10-07 13:14:50",63,5
"502","2021-10-07 12:04:45","2021-10-07 13:03:33",66,13
"503","2021-10-07 12:27:21","2021-10-07 12:46:53",150,7
"504","2021-10-07 13:01:11","2021-10-07 14:10:51",96,6
