"","item1","item2","missing","careless_long"
"153","2021-10-07 09:17:21","2021-10-07 10:24:42",49,5
"154","2021-10-07 09:59:13","2021-10-07 10:24:58",61,9
"155","2021-10-07 09:54:25","2021-10-07 10:25:25",114,13
"156","2021-10-07 09:39:24","2021-10-07 10:25:34",114,8
"157","2021-10-07 09:53:43","2021-10-07 10:25:47",96,14
"158","2021-10-07 09:55:08","2021-10-07 10:25:54",84,8
"159","2021-10-07 09:48:37","2021-10-07 10:26:15",130,13
"161","2021-10-07 09:42:37","2021-10-07 10:26:53",105,13
"162","2021-10-07 09:22:00","2021-10-07 10:27:11",126,7
"163","2021-10-07 09:39:13","2021-10-07 10:27:39",84,12
"165","2021-10-07 09:45:05","2021-10-07 10:29:49",81,9
"166","2021-10-07 10:00:24","2021-10-07 10:30:16",169,13
"167","2021-10-07 09:24:40","2021-10-07 10:30:18",81,11
"168","2021-10-07 09:43:17","2021-10-07 10:30:18",153,10
"169","2021-10-07 09:40:17","2021-10-07 10:30:48",66,14
"170","2021-10-07 09:09:00","2021-10-07 10:31:22",35,17
"171","2021-10-07 09:49:53","2021-10-07 10:31:30",72,6
"172","2021-10-07 10:00:01","2021-10-07 10:31:54",138,9
"173","2021-10-07 09:15:03","2021-10-07 10:32:21",84,5
"174","2021-10-07 09:43:00","2021-10-07 10:32:35",39,4
"176","2021-10-07 09:56:56","2021-10-07 10:33:23",103,13
"177","2021-10-07 09:44:31","2021-10-07 10:33:50",51,4
"178","2021-10-07 08:56:52","2021-10-07 10:33:53",120,9
"179","2021-10-07 09:48:31","2021-10-07 10:33:57",68,9
"180","2021-10-07 10:01:40","2021-10-07 10:34:57",93,12
"182","2021-10-07 09:46:01","2021-10-07 10:35:42",192,21
"183","2021-10-07 09:54:21","2021-10-07 10:36:56",123,12
"184","2021-10-07 09:57:57","2021-10-07 10:37:03",66,6
"185","2021-10-07 09:59:09","2021-10-07 10:37:18",99,11
"186","2021-10-07 09:18:54","2021-10-07 10:37:52",55,9
"187","2021-10-07 09:52:49","2021-10-07 10:39:58",3,14
"189","2021-10-07 09:53:37","2021-10-07 10:40:33",93,13
"190","2021-10-07 09:40:53","2021-10-07 10:40:38",144,23
"191","2021-10-07 10:20:30","2021-10-07 10:40:47",144,7
"192","2021-10-07 09:23:10","2021-10-07 10:41:00",36,4
"193","2021-10-07 09:56:32","2021-10-07 10:41:35",39,8
"194","2021-10-07 09:49:00","2021-10-07 10:42:10",70,9
"195","2021-10-07 09:55:33","2021-10-07 10:42:34",91,12
"196","2021-10-07 09:40:35","2021-10-07 10:43:00",72,8
"197","2021-10-07 09:53:42","2021-10-07 10:43:04",100,6
"198","2021-10-07 09:09:20","2021-10-07 10:43:28",132,6
"199","2021-10-07 10:01:27","2021-10-07 10:43:35",123,24
"201","2021-10-07 09:15:44","2021-10-07 10:45:58",60,8
"202","2021-10-07 09:27:13","2021-10-07 10:45:56",51,9
"203","2021-10-07 09:43:17","2021-10-07 10:46:54",97,5
"204","2021-10-07 10:00:12","2021-10-07 10:47:40",105,9
"207","2021-10-07 09:58:21","2021-10-07 10:49:08",30,6
"208","2021-10-07 09:57:20","2021-10-07 10:50:01",51,10
"210","2021-10-07 09:59:15","2021-10-07 10:50:30",102,13
"211","2021-10-07 09:42:53","2021-10-07 10:50:34",49,7
"213","2021-10-07 09:38:42","2021-10-07 10:51:41",99,7
"214","2021-10-07 09:39:00","2021-10-07 10:52:10",87,8
"215","2021-10-07 09:31:15","2021-10-07 10:52:28",114,13
"216","2021-10-07 09:54:52","2021-10-07 10:53:16",62,8
"217","2021-10-07 09:42:15","2021-10-07 10:53:27",87,6
"218","2021-10-07 09:54:20","2021-10-07 10:54:07",96,15
"219","2021-10-07 09:37:13","2021-10-07 10:54:13",81,12
"220","2021-10-07 09:47:15","2021-10-07 10:55:01",17,7
"221","2021-10-07 09:26:30","2021-10-07 10:55:16",37,11
"222","2021-10-07 09:53:40","2021-10-07 10:55:28",46,6
"223","2021-10-07 09:58:45","2021-10-07 10:56:06",48,11
"224","2021-10-07 09:41:00","2021-10-07 10:57:37",138,16
"228","2021-10-07 09:58:31","2021-10-07 10:59:15",96,11
"229","2021-10-07 09:21:53","2021-10-07 11:00:04",15,14
"231","2021-10-07 09:39:55","2021-10-07 11:00:20",45,10
"232","2021-10-07 09:34:38","2021-10-07 11:00:54",48,5
"233","2021-10-07 09:48:16","2021-10-07 11:01:21",141,18
"234","2021-10-07 09:40:51","2021-10-07 11:02:48",99,9
"235","2021-10-07 09:27:33","2021-10-07 11:03:16",119,13
"236","2021-10-07 09:33:03","2021-10-07 11:04:19",87,7
"237","2021-10-07 09:43:02","2021-10-07 11:04:52",3,12
"239","2021-10-07 09:52:33","2021-10-07 11:05:45",63,6
"240","2021-10-07 09:47:04","2021-10-07 11:05:50",60,5
"241","2021-10-07 09:51:20","2021-10-07 11:06:16",25,18
"242","2021-10-07 09:37:19","2021-10-07 11:07:46",33,5
"243","2021-10-07 09:48:08","2021-10-07 11:09:09",111,6
"244","2021-10-07 09:33:29","2021-10-07 11:11:56",66,6
"245","2021-10-07 09:59:49","2021-10-07 11:12:05",19,8
"246","2021-10-07 10:00:29","2021-10-07 11:12:19",99,5
"247","2021-10-07 09:29:05","2021-10-07 11:12:56",108,5
"248","2021-10-07 09:52:53","2021-10-07 11:13:22",63,7
"249","2021-10-07 09:41:57","2021-10-07 11:13:30",73,13
