"","item400","preferredLabel","worker"
"217","Junior Civil Engineer","Technicians and associate professionals","Skill"
"218","administrative","Technicians and associate professionals","Skill"
"219","Medical scientists","Technicians and associate professionals","Skill"
"220","Senior Architect","Professionals","Knowledge"
"221","developer (information and technology )","Professionals","Knowledge"
"222","Staff","Service and sales workers","Skill"
"223","Customer Support","Technicians and associate professionals","Skill"
"224","Paralegal ","Technicians and associate professionals","Skill"
"225","Junior Manager","Managers","Knowledge"
"226","Kitchen manager ","Managers","Knowledge"
"227",NA,NA,NA
"228","Client services specialist - responding to clients, partners and colleagues via phone, email and system that the work is on","Technicians and associate professionals","Skill"
"229","Search engine evaluator and social media labelling ","Professionals","Knowledge"
"230",NA,NA,NA
"231","Linux Systems Adminstrator","Professionals","Knowledge"
"232","Web developer, IT","Professionals","Knowledge"
"233","Telecommunications ","Professionals","Knowledge"
"234","CTO","Managers","Knowledge"
"235","Musical Missionary / Music Produer","Professionals","Knowledge"
"236","QA Analyst","Professionals","Knowledge"
"237","Trader","Technicians and associate professionals","Skill"
"238","Indirects Procurement Coordinator","Technicians and associate professionals","Skill"
"239","Social worker","Professionals","Knowledge"
"240","Anatomical preparation assistant","Technicians and associate professionals","Skill"
"241","Security guard","Service and sales workers","Skill"
"242","Fleet manager","Managers","Knowledge"
"243","Teacher","Professionals","Knowledge"
"244","615562efae9abcb208193103",NA,NA
"245",NA,NA,NA
"246","Finance internship","Professionals","Knowledge"
"247","Personal Training","Service and sales workers","Skill"
"248","Office administrator","Technicians and associate professionals","Skill"
"249","Junior shopper in a supermarket","Technicians and associate professionals","Skill"
"250","Management ","Technicians and associate professionals","Skill"
"251","Sales consultant ","Professionals","Knowledge"
"252","Hostess","Service and sales workers","Skill"
"253","Auditor","Technicians and associate professionals","Skill"
"254","Manager value delivery and planning ","Managers","Knowledge"
"255","Marketing and operations manager","Managers","Knowledge"
"256","Pathologist","Professionals","Knowledge"
"257","Personal Assistant","Technicians and associate professionals","Skill"
"258","Pathology administrator","Technicians and associate professionals","Skill"
"259","Vendedor ",NA,NA
"260","Front-End Developer","Professionals","Knowledge"
"261"," Human Resources assistant","Technicians and associate professionals","Skill"
"262","Service Consultant ","Professionals","Knowledge"
"263","I work mainly in finance, as a market analyst and trader and studying towards a medical degree","Professionals","Knowledge"
"264","event coordinator and manager","Managers","Knowledge"
"265","Owner of a bakery ","Service and sales workers","Skill"
"266","system test engineer","Professionals","Knowledge"
"267","EXAMINER","Professionals","Knowledge"
"268","Eletric",NA,NA
"269","Software Developer","Professionals","Knowledge"
"270","Dentist","Professionals","Knowledge"
"271","Auditor","Technicians and associate professionals","Skill"
"272","Customer Service Agent","Technicians and associate professionals","Skill"
"273","restaurant cashier","Service and sales workers","Skill"
"274","Call Centre Agent","Technicians and associate professionals","Skill"
"275","Freelancer, homeoffice",NA,NA
"276","Electrical Design Engineer","Professionals","Knowledge"
"277","Perceptions on job demands and resources","Professionals","Knowledge"
"278","Teacher","Professionals","Knowledge"
"279","Quantity Surveyor","Professionals","Knowledge"
"280","Production worker at a baby food company","Professionals","Knowledge"
"281","graphic designer/ set designer","Professionals","Knowledge"
"282","construction and architecture ","Technicians and associate professionals","Skill"
"283","IT Administrator","Technicians and associate professionals","Skill"
"284","Logistics","Managers","Knowledge"
"285","Chief digital officer","Managers","Knowledge"
"286","Floor Manager","Managers","Knowledge"
"287","Bolt driver","Plant and machine operators and assemblers","Skill"
"288","Music Teacher","Professionals","Knowledge"
"289","Teacher, University professor ","Professionals","Knowledge"
"290","Community Liaison Officer","Professionals","Knowledge"
"291","Procurement specialist","Technicians and associate professionals","Skill"
"292","fitness Instructor","Technicians and associate professionals","Skill"
"293","Graphic Designer, Salesperson and Customer Service","Professionals","Knowledge"
"294","Hairdresser","Service and sales workers","Skill"
"295","Coordinator/ team leader of large group of people","Professionals","Knowledge"
"296","Customer service ","Service and sales workers","Skill"
"297","hospital","Professionals","Knowledge"
"298","Consultant ","Professionals","Knowledge"
"299","Engineer Projects","Professionals","Knowledge"
"300","Administration ","Managers","Knowledge"
"301","Office Manager","Managers","Knowledge"
"302","Software Analyst","Professionals","Knowledge"
"303","Audit Manager ","Managers","Knowledge"
"304","Customer support Agent","Technicians and associate professionals","Skill"
"305","Health and Security","Professionals","Knowledge"
"306","Paralegal","Technicians and associate professionals","Skill"
"307","Assistant Legal Counsel ","Technicians and associate professionals","Skill"
"308","Esl teacher","Professionals","Knowledge"
"309","Data analyst in Government Position","Professionals","Knowledge"
"310","Pharmacy technician","Technicians and associate professionals","Skill"
"311","entertainment for childrens parties ","Professionals","Knowledge"
"312","human resources assistant","Technicians and associate professionals","Skill"
"313","Operator sanitation","Plant and machine operators and assemblers","Skill"
"314","Director of Studies","Professionals","Knowledge"
"315","Talent Acquisition","Professionals","Knowledge"
"316","Doctor ","Professionals","Knowledge"
"317","Receptionist admin","Clerical support workers","Skill"
"318","Financial Account Manager","Managers","Knowledge"
"319","Lawyer","Professionals","Knowledge"
"320","electronic technician","Technicians and associate professionals","Skill"
"321","Chief Technical Officer","Managers","Knowledge"
"322","Phone telemarketing","Craft and related trades workers","Skill"
"323","Call centre service consultant ","Technicians and associate professionals","Skill"
"324","Manager","Managers","Knowledge"
"325","Knowledge Base Engineer","Professionals","Knowledge"
"326","Fashion designer","Professionals","Knowledge"
"327","Artisan ","Craft and related trades workers","Skill"
"328","CG Lead Artist","Professionals","Knowledge"
"329","Powder painter","Craft and related trades workers","Skill"
"330","Assistant teacher","Professionals","Knowledge"
"331","IT Specialist","Technicians and associate professionals","Skill"
"332","Marketing","Managers","Knowledge"
"333","M&R Assistant","Technicians and associate professionals","Skill"
"334","Advisor","Professionals","Knowledge"
"335","Environmental Engineer ","Professionals","Knowledge"
"336","custumer service","Technicians and associate professionals","Skill"
"337","Customer Care Agent","Technicians and associate professionals","Skill"
"338","Web developer","Professionals","Knowledge"
"339","Project valuation and finance","Managers","Knowledge"
"340","Child Wellbeing Practitioner ","Professionals","Knowledge"
"341","Quality Controller","Craft and related trades workers","Skill"
"342","Software Analyst","Professionals","Knowledge"
"343","laboratory technician","Technicians and associate professionals","Skill"
"344","Manager","Managers","Knowledge"
"345","mechanical storer","Craft and related trades workers","Skill"
"346","Marketing Specialist ","Professionals","Knowledge"
"347","Doctor","Professionals","Knowledge"
"348","Quality and Patient Safety Supervisor","Technicians and associate professionals","Skill"
"349","wellness  support coordinator","Technicians and associate professionals","Skill"
"350","Kitchen Assistant","Technicians and associate professionals","Skill"
"351","Administrative Assistant/Transcriber/Office Manager ","Technicians and associate professionals","Skill"
"352","Car Shop Manager","Managers","Knowledge"
"353","Data Capture","Technicians and associate professionals","Skill"
"354","Administrative work, helping with the documents","Technicians and associate professionals","Skill"
"355","Assistant analyst ","Professionals","Knowledge"
"356","Human Resources","Professionals","Knowledge"
"357","Operator Plasmascourcing","Plant and machine operators and assemblers","Skill"
"358","Cashier","Clerical support workers","Skill"
"359","Project manager (for software development projects)","Managers","Knowledge"
"360","administration","Managers","Knowledge"
"361","Operations Support","Clerical support workers","Skill"
"362","Design and woodworking","Professionals","Knowledge"
"363","Broadcast Licensing Executive ","Managers","Knowledge"
"364","Call Center Solutions Agent ","Technicians and associate professionals","Skill"
"365","Reception","Clerical support workers","Skill"
"366","Data and Electronics Engineer","Professionals","Knowledge"
"367","Head of Architecture (I.T.)","Managers","Knowledge"
"368","Auditor-Consulting","Professionals","Knowledge"
"369","QA Engeener",NA,NA
"370","Sales and Customer Service Administrator","Professionals","Knowledge"
"371","realtor","Technicians and associate professionals","Skill"
"372","Fast food service","Professionals","Knowledge"
"373","Sales Operations Analyst","Managers","Knowledge"
"374","Researcher","Professionals","Knowledge"
"375","Senior Underwriting Consultant","Professionals","Knowledge"
"376","Data Manager","Professionals","Knowledge"
"377","industrial engineer","Professionals","Knowledge"
"378","order picker / warehouse worker","Elementary occupations","Skill"
"379","Life Assurance Premiums Officer","Technicians and associate professionals","Skill"
"380","cost and budget analyst","Professionals","Knowledge"
"381","Teacher assistant","Professionals","Knowledge"
"382","Data Analisys","Technicians and associate professionals","Skill"
"383","CTO","Managers","Knowledge"
"384","junior manager","Managers","Knowledge"
"385","Events, product and lifestyle photographer","Technicians and associate professionals","Skill"
"386","Global Service Desk Analyst L1","Technicians and associate professionals","Skill"
"387","consultant","Professionals","Knowledge"
"388","Data Developer","Professionals","Knowledge"
"389","Teacher","Professionals","Knowledge"
"390","PATH Program assistant","Technicians and associate professionals","Skill"
"391","Military ","Professionals","Knowledge"
"392","Public Healthcare- physiotherapy","Professionals","Knowledge"
"393","Quality Manager","Managers","Knowledge"
"394","pharmacist technician","Technicians and associate professionals","Skill"
"395","Account Manager","Managers","Knowledge"
"396","Finance Officer","Technicians and associate professionals","Skill"
"397","Recon admin clerk","Clerical support workers","Skill"
"398","architect","Professionals","Knowledge"
"399","Digital Designer","Professionals","Knowledge"
"400","Computer programmer","Professionals","Knowledge"
"401","Engineering Manager","Managers","Knowledge"
"402","delivering things from food to people belongings","Technicians and associate professionals","Skill"
"403","Librarian","Professionals","Knowledge"
"404","research funding officer","Technicians and associate professionals","Skill"
"405","teaching","Professionals","Knowledge"
"406","Financial Analyst","Professionals","Knowledge"
